Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,214.000000,214.699997,213.199997,214.000000,214.000000,3342723
2018-01-17,212.899994,214.399994,212.399994,213.000000,213.000000,3105238
2018-01-18,213.100006,213.600006,212.100006,213.500000,213.500000,3448749
2018-01-19,214.000000,215.199997,211.899994,214.699997,214.699997,9764248
2018-01-22,214.800003,214.800003,211.000000,213.199997,213.199997,4725206
2018-01-23,214.600006,214.600006,211.600006,212.699997,212.699997,4167803
2018-01-24,212.899994,215.000000,212.399994,213.000000,213.000000,4161998
2018-01-25,213.300003,214.100006,211.300003,213.500000,213.500000,5330532
2018-01-26,213.000000,217.699997,213.000000,216.800003,216.800003,8754225
2018-01-29,218.000000,218.600006,215.699997,217.699997,217.699997,5521286
2018-01-30,216.500000,217.899994,215.699997,217.000000,217.000000,8618519
2018-01-31,217.000000,219.100006,216.300003,217.199997,217.199997,5678218
2018-02-01,217.899994,219.199997,215.100006,215.800003,215.800003,9388314
2018-02-02,215.899994,216.899994,212.600006,213.000000,213.000000,7213882
2018-02-05,212.100006,212.100006,206.699997,207.899994,207.899994,9113816
2018-02-06,200.899994,200.899994,191.550003,194.399994,194.399994,19809796
2018-02-07,196.250000,202.100006,195.050003,201.000000,201.000000,13619783
2018-02-08,199.500000,201.000000,189.100006,189.800003,189.800003,12781945
2018-02-09,188.899994,189.449997,182.550003,184.250000,184.250000,19838583
2018-02-12,186.850006,189.000000,185.649994,186.500000,186.500000,7740771
2018-02-13,186.149994,188.750000,184.649994,184.850006,184.850006,6598786
2018-02-14,186.199997,188.050003,181.449997,184.100006,184.100006,6667573
2018-02-15,186.300003,188.500000,184.100006,185.149994,185.149994,8790239
2018-02-16,185.449997,187.199997,184.600006,185.500000,185.500000,3227477
